2022-02-22 09:48:12,545 DEBUG [main] cmn.LoggerManager (CalendarEx01Main.java:42)     - cal02:1313922862
2022-02-22 10:04:52,608 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:39)     - 이 해의 년도:2022
2022-02-22 10:07:39,682 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 이 해의 년도:2022
2022-02-22 10:07:39,688 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:43)     - 월(0~11):1
2022-02-22 10:07:39,688 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 해당월의 일:22
2022-02-22 10:07:55,372 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 이 해의 년도:2022
2022-02-22 10:07:55,379 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:43)     - 월(0~11):2
2022-02-22 10:07:55,379 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 해당월의 일:22
2022-02-22 10:10:05,497 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 이 해의 년도:2022
2022-02-22 10:10:05,504 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:43)     - 월(0~11):2
2022-02-22 10:10:05,504 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 해당월의 일:22
2022-02-22 10:10:05,504 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:46)     - =======================
2022-02-22 10:10:05,505 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:47)     - 2022년2월22일
2022-02-22 10:12:49,725 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 이 해의 년도:2022
2022-02-22 10:12:49,731 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:43)     - 월(0~11):2
2022-02-22 10:12:49,731 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 해당월의 일:22
2022-02-22 10:12:49,731 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:46)     - =======================
2022-02-22 10:12:49,731 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:47)     - 2022년2월22일
2022-02-22 10:12:49,731 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 요일:1(일요일)~7(토요일):3
2022-02-22 10:20:07,261 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 이 해의 년도:2022
2022-02-22 10:20:07,269 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:43)     - 월(0~11):2
2022-02-22 10:20:07,269 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 해당월의 일:22
2022-02-22 10:20:07,269 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:46)     - =======================
2022-02-22 10:20:07,269 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:47)     - 2022년2월22일
2022-02-22 10:20:07,269 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 요일:1(일요일)~7(토요일):3
2022-02-22 10:20:07,269 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:56)     - (오전:0,오후:1)0
2022-02-22 10:20:07,269 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:59)     - 시간(0~11):10
2022-02-22 10:20:07,273 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:61)     - 시간(0~23):10
2022-02-22 10:20:07,273 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:63)     - 분:20
2022-02-22 10:20:07,273 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:65)     - 초:7
2022-02-22 10:20:07,273 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:67)     - 1000분의 1초:81
2022-02-22 10:25:25,843 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 이 해의 년도:2022
2022-02-22 10:25:25,847 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:43)     - 월(0~11):2
2022-02-22 10:25:25,848 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 해당월의 일:22
2022-02-22 10:25:25,848 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:46)     - =======================
2022-02-22 10:25:25,848 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:47)     - 2022년2월22일
2022-02-22 10:25:25,848 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 요일:1(일요일)~7(토요일):3
2022-02-22 10:25:25,848 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:56)     - (오전:0,오후:1)0
2022-02-22 10:25:25,848 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:59)     - 시간(0~11):10
2022-02-22 10:25:25,852 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:61)     - 시간(0~23):10
2022-02-22 10:25:25,852 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:63)     - 분(0~59):25
2022-02-22 10:25:25,852 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:65)     - 초(0~59):25
2022-02-22 10:25:25,852 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:67)     - 1000분의 1초:661
2022-02-22 10:25:25,852 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:69)     - 10:25:25
2022-02-22 10:27:08,672 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 이 해의 년도:2022
2022-02-22 10:27:08,677 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:43)     - 월(0~11):2
2022-02-22 10:27:08,677 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 해당월의 일:22
2022-02-22 10:27:08,677 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:46)     - =======================
2022-02-22 10:27:08,677 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:47)     - 2022년2월22일
2022-02-22 10:27:08,677 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 요일:1(일요일)~7(토요일):3
2022-02-22 10:27:08,678 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:56)     - (오전:0,오후:1)0
2022-02-22 10:27:08,678 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:59)     - 시간(0~11):10
2022-02-22 10:27:08,681 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:61)     - 시간(0~23):10
2022-02-22 10:27:08,681 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:63)     - 분(0~59):27
2022-02-22 10:27:08,681 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:65)     - 초(0~59):8
2022-02-22 10:27:08,681 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:67)     - 1000분의 1초:511
2022-02-22 10:27:08,681 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:69)     - 10:27:8
2022-02-22 13:54:33,479 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 이 해의 년도:2022
2022-02-22 13:54:33,485 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:43)     - 월(0~11):2
2022-02-22 13:54:33,485 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 해당월의 일:22
2022-02-22 13:54:33,485 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:46)     - =======================
2022-02-22 13:54:33,485 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:47)     - 2022년2월22일
2022-02-22 13:54:33,485 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 요일:1(일요일)~7(토요일):3
2022-02-22 13:54:33,486 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:56)     - (오전:0,오후:1)1
2022-02-22 13:54:33,486 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:59)     - 시간(0~11):1
2022-02-22 13:54:33,489 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:61)     - 시간(0~23):13
2022-02-22 13:54:33,489 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:63)     - 분(0~59):54
2022-02-22 13:54:33,489 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:65)     - 초(0~59):33
2022-02-22 13:54:33,489 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:67)     - 1000분의 1초:311
2022-02-22 13:54:33,489 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:69)     - 13:54:33
